English,Greek
doing,πράξη
thank,ευχαριστώ
give,δίνω
only,μόνο
thought,σκέψη
help,βοήθεια
two,δυο
talk,ομιλία
people,άνθρωποι
god,θεός
still,ακόμη
wait,Περιμένετε
into,σε
find,εύρημα
nothing,τίποτα
again,πάλι
things,πράγματα
let's,ας
doesn't,δεν κάνει
call,κλήση
told,είπε
great,μεγάλος
before,προτού
better,καλύτερα
ever,πάντα
night,νύχτα
than,από
away,μακριά
first,πρώτα
believe,πιστεύω
other,άλλος
feel,αφή
everything,πάντα
work,εργασία
you've,έχεις
fine,πρόστιμο
home,σπίτι
after,μετά
last,τελευταίος
these,αυτοί
day,ημέρα
keep,διατήρηση
does,κάνει
put,βάζω
around,γύρω
stop,στάση
they're,αυτοί είναι
I'd,Ταυτότητα
guy,άνθρωπος
long,μακρύς
isn't,δεν είναι
always,πάντοτε
listen,ακούω
wanted,καταζητούμενος
Mr .,Mr .
guys,παιδιά
huh,εεε
those,εκείνοι
big,μεγάλος
lot,παρτίδα
happened,συνέβη
thanks,Ευχαριστώ
won't,συνηθισμένος
trying,δύσκολος
kind,είδος
wrong,λανθασμένος
through,διά μέσου
talking,ομιλία
made,κατασκευασμένος
new,νέος
being,ύπαρξη
guess,εικασία
hi,Γεια
care,φροντίδα
bad,κακός
mom,μαμά
remember,θυμάμαι
getting,να πάρει
we'll,Λοιπόν
together,μαζί
dad,μπαμπάς
leave,άδεια
mother,μητέρα
place,θέση
wouldn't,δεν θα
actually,πράγματι
hear,ακούω
baby,μωρό
nice,όμορφη
father,πατέρας
else,αλλού
stay,διαμονή
done,γινώμενος
wasn't,δεν ήταν
their,τους
course,πορεία
might,δύναμη
mind,μυαλό
every,κάθε
enough,αρκετά
try,δοκιμή
hell,κόλαση
came,ήρθε
someone,κάποιος
you'll,θα
own,ίδιος
family,οικογένεια
whole,ολόκληρο
another,άλλος
house or House,σπίτι ή Σπίτι
Jack or jack,Τζακ ή γρύλος
yourself,σύ ο ίδιος
idea,ιδέα
ask,παρακαλώ
best,καλύτερος
must,πρέπει
coming,ερχομός
old,παλιός
looking,κοιτάζοντας
woman,γυναίκα
hello,Γειά σου
which,ο οποίος
years,χρόνια
room,δωμάτιο
money,χρήματα
left,αριστερά
knew,γνώριζε
tonight,απόψε
real,πραγματικός
son,υιός
hope,ελπίδα
name,όνομα
same,ίδιο
went,πήγε
um,χμ
hmm,χμμ
happy,ευτυχισμένος
pretty,αρκετά
saw,πριόνι
girl,κορίτσι
sir,Κύριε
show,επίδειξη
friend,φίλος
already,ήδη
saying,ρητό
may or May,Μάιος ή Μάιος
next,επόμενος
three,τρία
job,δουλειά
problem,πρόβλημα
minute,λεπτό
found,θεμελιώ
world,κόσμος
thinking,σκέψη
haven't,δεν έχουν
heard,ακούστηκε
matter,ύλη
myself,εγώ ο ίδιος
couldn't,δεν μπόρεσε
exactly,ακριβώς
having,έχοντας
ah,αχ
probably,πιθανώς
happen,συμβαίνω
we've,έχουμε
hurt,πλήγμα
boy,αγόρι
both,και οι δύο
while,ενώ
dead,νεκρός
gotta,πρέπει
alone,μόνος
since,από
excuse,δικαιολογία
start,αρχή
kill,σκοτώνω
hard,σκληρά
you'd,θα κάνατε
today,σήμερα
car,αυτοκίνητο
ready,έτοιμος
until,μέχρι
without,χωρίς
whatever,οτιδήποτε
wants,θέλει
hold,αμπάρι
wanna,θέλω
yet,ακόμη
seen,δει
deal,συμφωνία
took,πήρε
once,μια φορά
gone,χαμένος
called,κάλεσε
morning,πρωί
supposed,υποτιθεμένος
friends,φίλοι
head,κεφάλι
stuff,υλικό
most,πλέον
used,μεταχειρισμένος
worry,ανησυχία
second,δεύτερος
part,μέρος
live,ζω
truth,αλήθεια
school,σχολείο
face,πρόσωπο
forget,ξεχνώ
TRUE,ΑΛΗΘΗΣ
business,επιχείρηση
each,κάθε
cause,αιτία
soon,σύντομα
knows,γνωρίζει
few,λίγοι
telling,αποτελεσματικός
wife,γυναίκα
who's,ποιος είναι
use,χρήση
chance,ευκαιρία
run,τρέξιμο
move,κίνηση
anyone,κάποιος
person,πρόσωπο
bye,αντίο
January,Ιανουάριος
somebody,κάποιος
Drop,Πτώση
heart,καρδιά
such,τέτοιος
miss,δεσποινίδα
married,παντρεμένος
point,σημείο
later,αργότερα
making,κατασκευή
meet,συναντώ
anyway,οπωσδήποτε
many,πολοί
phone,τηλέφωνο
reason,λόγος
damn,δεκάρα
lost,χαμένος
looks,παρουσιαστικό
bring,φέρω
case,περίπτωση
turn,σειρά
wish,επιθυμία
tomorrow,αύριο
kids,μικρόκοσμος
trust,εμπιστοσύνη
check,έλεγχος
change,αλλαγή
end,τέλος
late,αργά
anymore,πια
five,πέντε
least,ελάχιστα
town,πόλη
aren't,δεν είναι
ha,χα
working,εργαζόμενος
year,έτος
makes,κάνει
taking,λήψη
means,μέσα
brother,αδελφός
play,παιχνίδι
hate,μισώ
ago,πριν
says,λέει
beautiful,όμορφος
gave,έδωσε
fact,γεγονός
crazy,τρελός
party,κόμμα
sit,καθίζω
open,ανοιχτό
afraid,φοβισμένος
between,μεταξύ
important,σπουδαίος
rest,υπόλοιπο
fun,διασκέδαση
kid,παιδί
word,λέξη
watch,ρολόι
glad,χαρούμενος
everyone,καθένας
days,ημέρες
sister,αδελφή
minutes,πρακτικά
everybody,όλοι
bit,κομμάτι
couple,ζευγάρι
whoa,ουα
either,είτε
Mrs .,κα .
feeling,συναίσθημα
daughter,κόρη
wow,εκπληκτική επιτυχία
gets,παίρνει
asked,ερωτηθείς
under,υπό
break,διακοπή
door,πόρτα
set,σειρά
close,κοντά
hand,χέρι
easy,εύκολος
question,ερώτηση
doctor,γιατρός
tried,δοκιμασμένος
far,μακριά
walk,βόλτα
needs,αναγκαία
trouble,ταλαιπωρία
mine,ορυχείο
though,αν και
times,φορές
different,διαφορετικός
killed,σκοτώθηκε
hospital,νοσοκομείο
anybody,οποιοσδήποτε
Sam,Σαμ
alright,καλώς
wedding,γάμος
shut,κλειστός
able,ικανός
die,καλούπι
perfect,τέλειος
police,αστυνομία
stand,στάση
comes,έρχεται
hit,επιτυχία
story,ιστορία
ya,ναι
mm,mm
waiting,αναμονή
dinner,δείπνο
against,κατά
funny,αστείος
husband,σύζυγος
almost,σχεδόν
stupid,ηλίθιος
pay,πληρωμή
answer,απάντηση
four,τέσσερις
office,γραφείο
cool,δροσερός
eyes,μάτια
news,νέα
child,παιδί
shouldn't,δεν θα έπρεπε
half,ήμισυ
side,πλευρά
yours,δικό σου
moment,στιγμή
sleep,ύπνος
read,ανάγνωση
where's,που είναι
started,ξεκίνησε
young,νέος
men,άνδρες
sounds,ήχους
sonny or Sonny,sonny ή Sonny
lucky,τυχερός
pick,διαλέγω
sometimes,μερικές φορές
em,em
bed,κρεβάτι
also,επίσης
date,ημερομηνία
line,γραμμή
plan,σχέδιο
hours,ώρες
lose,χάνω
fire,φωτιά
free,δωρεάν
hands,χέρια
serious,σοβαρός
Leo,Λέων
shit,σκατά
behind,πίσω
inside,μέσα
high,ψηλά
ahead,εμπρός
week,εβδομάδα
wonderful,θαυμάσιος
Troubleshooting,Αντιμετώπιση προβλημάτων
fight,πάλη
past,το παρελθόν
cut,τομή
quite,αρκετά
number,αριθμός
he'll,κόλαση
sick,άρρωστος
S .,S .
it'll,θα
game,παιχνίδι
eat,φάω
nobody,κανείς
goes,πηγαίνει
death,θάνατος
along,κατά μήκος
save,εκτός
seems,φαίνεται
finally,τελικά
lives,ζει
worried,ανήσυχος
upset,ανατροπή
Theresa,Θηρεσία
Carly,Η Κάρλι
Ethan,Ίθαν
met,συναντήθηκε
book,βιβλίο
brought,έφερε
seem,φαίνομαι
sort,είδος
safe,ασφαλής
living,ζωή
children,παιδιά
weren't,δεν ήταν
leaving,φεύγοντας
front,εμπρός
shot,βολή
loved,αγαπημενος
asking,ζητώντας
running,τρέξιμο
clear,σαφής
figure,εικόνα
hot,καυτό
felt,τσόχα
six,έξι
parents,γονείς
drink,ποτό
absolutely,απολύτως
how's,πώς είναι
daddy,πατερούλης
sweet,γλυκός
alive,ζωντανός
Paul,Παύλος
sense,έννοια
meant,εννοούσε
happens,συμβαίνει
David,Δαβίδ
special,ειδικός
bet,στοίχημα
blood,αίμα
ain't,δεν είναι
kidding,κοροϊδία
lie,ψέμα
full,γεμάτος
meeting,συνάντηση
dear,αγαπητός
coffee,καφές
seeing,βλέπων
sound,ήχος
fault,σφάλμα
water,νερό
fuck,γαμώ
ten,δέκα
women,γυναίκες
John or john,Γιάννης ή Γιάννης
welcome,καλωσόρισμα
buy,αγορά
months,μήνες
hour,ώρα
speak,μιλώ
lady,κυρία
Jen,Jen
thinks,σκέφτεται
Christmas,Χριστούγεννα
body,σώμα
order,παραγγελία
outside,εκτός
hang,κρεμώ
possible,δυνατός
worse,χειρότερος
company,εταιρεία
mistake,λάθος
ooh,ωχ
handle,λαβή
spend,ξοδεύω
Capital,Κεφάλαιο
totally,εντελώς
giving,χορήγηση
control,έλεγχος
here's,εδώ είναι
marriage,γάμος
realize,αντιλαμβάνομαι
Disenterhia,Δυσεντερία
power,εξουσία
president,πρόεδρος
unless,εκτός
sex,φύλο
girls,κορίτσια
send,στέλνω
needed,χρειάζεται
Obviously,Προφανώς
taken,λαμβάνονται
died,πέθανε
scared,φοβισμένος
picture,εικόνα
talked,μίλησε
Jake,Τζέικ
Al,Ο Αλ
ass,γάιδαρος
hundred,εκατό
changed,άλλαξε
completely,εντελώς
explain,εξηγώ
playing,παιχνίδι
certainly,σίγουρα
sign,σημείο
boys,αγόρια
relationship,σχέση
Michael,Μιχαήλ
loves,αγάπες
fucking,γαμημένος
hair,μαλλιά
lying,κειμένος
choice,επιλογή
anywhere,οπουδήποτε
secret,μυστικό
future,μελλοντικός
weird,αλλόκοτος
luck,τύχη
she'll,κέλυφος
Maximum,Ανώτατο όριο
Luis,Λουίς
turned,γύρισε
known,γνωστός
touch,επαφή
kiss,φιλί
Crane,Γερανός
questions,ερωτήσεις
obviously,προφανώς
wonder,αναρωτιέμαι
pain,πόνος
calling,κλήση
somewhere,κάπου
throw,βολή
straight,ευθεία
Grace or grace,Χάρη ή χάρη
cold,κρύο
white or White,λευκό ή Λευκό
fast,γρήγορα
Natalie,Η Νάταλι
words,λόγια
radius,ακτίνα
food,τροφή
none,κανένας
drive,οδηγώ
feelings,συναισθήματα
they'll,θα το κάνουν
worked,δούλεψε
marry,παντρεύω
light,φως
test,δοκιμή
drop,πτώση
cannot,δεν μπορεί
Frank,Ειλικρινής
sent,έστειλε
city,πόλη
dream,όνειρο
protect,προστατεύω
twenty,είκοσι
class,τάξη
Lucy,Λούσι
surprise,έκπληξη
its,του
sweetheart,αγαπημένη
forever,πάντα
poor,φτωχός
looked,κοίταξε
mad,τρελός
except,εκτός
gun,όπλο
y'know,ξερεις
dance,χορός
takes,παίρνει
appreciate,εκτιμώ
especially,ειδικά
situation,κατάσταση
besides,εκτός
weeks,εβδομάδες
pull,Τραβήξτε
himself,ίδιος
hasn't,δεν έχει
act,πράξη
worth,αξία
Sheridan,Σέρινταν
amazing,καταπληκτικός
top,κορυφή
given,δεδομένος
expect,αναμένω
Ben,Μπεν
rather,μάλλον
Julian,Ιουλιανός
involved,εμπλεγμένος
swear,ορκίζομαι
piece,κομμάτι
busy,απασχολημένος
law,νόμος
decided,αποφασισμένος
black,μαύρος
Joey,Τζόι
happening,συμβάν
movie,ταινία
we'd,νυμφεύομαι
catch,σύλληψη
Antonio,Αντόνιο
country,χώρα
less,μείον
perhaps,ίσως
step,βήμα
fall,πτώση
watching,παρακολουθώντας
kept,διατηρήθηκε
darling,ωραιότατος
dog,σκυλί
widower,χήρος
win,νίκη
air,αέρας
honor,τιμή
personal,προσωπικός
moving,κίνηση
till,έως
admit,ομολογώ
problems,προβλήματα
murder,δολοφονία
strong,ισχυρός
he'd,είχε
evil,κακό
definitely,οριστικά
feels,αισθάνεται
information,πληροφορίες
honest,τίμιος
eye,μάτι
broke,χωρίς χρημάτων
missed,έχασε
longer,μακρύτερα
dollars,δολάρια
tired,κουρασμένος
Jason,Ιάσονας
George,Γεώργιος
evening,απόγευμα
human,ανθρώπινος
starting,εκκίνηση
Ross,Ρος
red,κόκκινος
entire,ολόκληρος
trip,ταξίδι
Brooke,Μπρουκ
imagination,φαντασία
club,λέσχη
Niles,Νάιλς
suppose,υποθέτω
calm,ηρεμία
imagine,φαντάζομαι
Todd,Τοντ
fair,έκθεση
caught,πιασμένα
blame,ευθύνη
street,δρόμος
sitting,συνεδρίαση
favor,εύνοια
apartment,διαμέρισμα
court,δικαστήριο
clean,καθαρός
Tony,Αντωνάκης
learn,μαθαίνω
Alison,Η Άλισον
Rick,Θημωνιά
works,εργοστάσιο
Rose,Τριαντάφυλλο
Frasier,Frasier
relax,Χαλαρώστε
York,York
million,εκατομμύριο
charity,φιλανθρωπία
accident,ατύχημα
wake,ίχνη
prove,αποδεικνύω
Danny,Ντάνι
smart,έξυπνος
message,μήνυμα
missing,απών
forgot,ξέχασε
small,μικρό
interested,ενδιαφερόμενος
table,τραπέζι
nbsp,nbsp
become,γίνομαι
Craig,Κρεγκ
mouth,στόμα
pregnant,έγκυος
middle,μέσο
Billy,Ρόπαλο
ring,δαχτυλίδι
careful,προσεκτικός
shall,θα
dude,δανδής
team,ομάδα
ride,βόλτα
figured,σχηματικός
wear,φθορά
shoot,βλαστός
stick,ραβδί
Ray ,Ακτίνα 
follow,ακολουθώ
Bo,Bo
angry,θυμωμένος
instead,αντί
buddy,σύντροφος
write,γράφω
stopped,σταμάτησε
early,νωρίς
Angel ,Αγγελος 
Nick ,Νίκος 
ran,έτρεξε
war,πόλεμος
standing,θέση
forgive,συγχωρώ
jail,φυλακή
wearing,κουραστικός
Miguel,Μιγκέλ
ladies,κυρίες
